time_s,frame,ch0_mv,ch1_mv,ch2_mv,ch3_mv,ch4_mv,ch5_mv,ch6_mv,ch7_mv,status
-48.099,4405647,-2385.97929,-2500,-2500,2499.9997,17.7457929,-3.72946262,2499.9997,-1.39087439,7
-48.098,4405648,-2385.05125,-2500,-2500,2499.9997,17.8828835,-3.72409821,2499.9997,-1.33663416,7
-48.097,4405649,-2421.93818,-2500,-2500,2499.9997,17.8340077,-3.68416309,2499.9997,-1.16586685,7
-48.096,4405650,-2451.77448,-2500,-2500,2499.9997,17.8623199,-3.71187925,2499.9997,-0.815391541,7
-48.095,4405651,-2453.65769,-2500,-2500,2499.9997,17.9439783,-3.70562077,2499.9997,-0.742673874,7
-48.094,4405652,-2449.45139,-2500,-2500,2499.9997,17.8688765,-3.7035346,2499.9997,-0.922977924,7
-48.093,4405653,-2452.54755,-2500,-2500,2499.9997,17.836988,-3.70204449,2499.9997,-0.737905502,7
-48.092,4405654,-2464.34093,-2500,-2500,2499.9997,17.8608298,-3.50236893,2499.9997,-0.583231449,7
-48.091,4405655,-2488.96658,-2500,-2500,2499.9997,17.7678466,-3.32266092,2499.9997,-0.519454479,7
-48.09,4405656,-2500,-2500,-2500,2499.9997,17.7520514,-3.35812569,2499.9997,-0.629127026,7
-48.089,4405657,-2480.22735,-2500,-2500,2499.9997,17.9564953,-3.45647335,2499.9997,-0.560581684,7
-48.088,4405658,-2447.96336,-2500,-2500,2499.9997,18.0676579,-3.56763601,2499.9997,-0.457465649,7
-48.087,4405659,-2440.07915,-2500,-2500,2499.9997,18.0724263,-3.66687775,2499.9997,-0.436902046,7
-48.086,4405660,-2443.94571,-2500,-2500,2499.9997,17.9684162,-3.54140997,2499.9997,-0.515282154,7
-48.085,4405661,-2442.08425,-2500,-2500,2499.9997,17.7973509,-3.38613987,2499.9997,-0.730454922,7
-48.084,4405662,-2432.00719,-2500,-2500,2499.9997,17.6736712,-3.34054232,2499.9997,-0.947713852,7
-48.083,4405663,-2408.32239,-2500,-2500,2499.9997,17.6540017,-3.50862741,2499.9997,-0.900626183,7
-48.082,4405664,-2386.67965,-2500,-2500,2499.9997,17.7228451,-3.51756811,2499.9997,-0.950396061,7
