time_s,frame,ch0_mv,ch1_mv,ch2_mv,status
-59.613,428174,-2401.27623,1172.77086,-1675.55213,1
-59.612,428175,-2379.7068,1174.73572,-1674.99721,1
-59.611,428176,-2377.33483,1177.00487,-1677.13314,1
-59.61,428177,-2379.94939,1177.67334,-1677.76972,1
-59.609,428178,-2373.66498,1177.42449,-1678.9788,1
-59.608,428179,-2359.63851,1178.15107,-1680.54163,1
-59.607,428180,-2336.67165,1182.45244,-1679.91132,1
-59.606,428181,-2327.26783,1183.29048,-1683.67505,1
-59.605,428182,-2347.83232,1180.76921,-1687.50674,1
-59.604,428183,-2379.71872,1179.30561,-1688.96079,1
-59.603,428184,-2389.53829,1176.82904,-1686.63412,1
-59.602,428185,-2386.69306,1176.38141,-1684.47375,1
-59.601,428186,-2387.96711,1177.94007,-1683.83658,1
-59.6,428187,-2394.4357,1177.77675,-1682.41203,1
-59.599,428188,-2412.11683,1175.09961,-1682.7932,1
-59.598,428189,-2429.65311,1172.26213,-1682.36673,1
-59.597,428190,-2419.67767,1172.89484,-1678.73204,1
-59.596,428191,-2390.7131,1175.32372,-1675.10241,1
-59.595,428192,-2377.53034,1176.43476,-1675.80605,1
-59.594,428193,-2378.17258,1177.6334,-1678.15626,1
-59.593,428194,-2378.87025,1177.59228,-1679.94916,1
-59.592,428195,-2372.30152,1177.01977,-1681.44315,1
-59.591,428196,-2354.86209,1178.76917,-1680.83817,1
-59.59,428197,-2331.52449,1181.55688,-1680.03291,1
-59.589,428198,-2331.95156,1181.63556,-1681.95873,1
-59.588,428199,-2362.29002,1180.73374,-1686.43981,1
-59.587,428200,-2386.51454,1179.21561,-1687.12169,1
-59.586,428201,-2389.13119,1176.99772,-1685.51862,1
-59.585,428202,-2386.24185,1178.04855,-1683.97218,1
-59.584,428203,-2389.02867,1177.05703,-1683.04175,1
-59.583,428204,-2399.56081,1174.73513,-1681.9331,1
-59.582,428205,-2419.60764,1172.06722,-1683.57283,1
-59.581,428206,-2427.87629,1171.62734,-1680.61435,1
-59.58,428207,-2406.964,1171.64046,-1677.06579,1
-59.579,428208,-2380.3857,1174.46691,-1674.72124,1
-59.578,428209,-2374.37963,1176.81801,-1676.06682,1
-59.577,428210,-2375.46623,1177.83368,-1678.17056,1
-59.576,428211,-2374.52418,1177.58453,-1678.70373,1
-59.575,428212,-2368.74282,1178.27743,-1679.6127,1
-59.574,428213,-2348.57351,1180.56387,-1678.70432,1
-59.573,428214,-2329.50687,1183.39062,-1679.43031,1
-59.572,428215,-2342.26346,1182.96206,-1683.31414,1
-59.571,428216,-2376.34271,1181.39744,-1686.4115,1
